,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
0,ITA,Europe,Italy,2021-11-20,4904441.0,10554.0,8640.571,133082.0,48.0,56.571,83073.357,178.768,146.357,2254.195,0.813,0.958,1.26,512.0,8.672,4762.0,80.661,294.0,4.98,2687.0,45.513,114012631.0,574812.0,1924.578,9.703,522281.0,8.816,0.0174,57.6,tests performed,93773769.0,47075162.0,43885032.0,4313669.0,194906.0,203575.0,158.84,79.74,74.33,7.31,3448.0,18181.0,0.031,49.75,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
1,ITA,Europe,Italy,2021-11-21,4915981.0,11540.0,9069.286,133131.0,49.0,56.0,83268.826,195.469,153.619,2255.025,0.83,0.949,1.25,520.0,8.808,4865.0,82.405,300.0,5.082,2745.0,46.496,114499740.0,487109.0,1932.801,8.223,528212.0,8.916,0.0177,56.3,tests performed,93857701.0,47084174.0,43895110.0,4378553.0,83932.0,204965.0,158.98,79.75,74.35,7.42,3472.0,18346.0,0.031,49.75,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,158971.31,13.05,6.17,2683.4978
2,ITA,Europe,Italy,2021-11-22,4925688.0,9707.0,9375.286,133177.0,46.0,57.429,83433.247,164.421,158.802,2255.805,0.779,0.973,1.25,549.0,9.299,5056.0,85.641,313.0,5.302,2809.0,47.58,114767310.0,267570.0,1937.317,4.517,530890.0,8.962,0.018,55.6,tests performed,94113936.0,47106759.0,43915730.0,4591654.0,256235.0,211230.0,159.41,79.79,74.39,7.78,3578.0,18782.0,0.032,49.74,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
3,ITA,Europe,Italy,2021-11-23,4932091.0,6403.0,9547.286,133247.0,70.0,61.143,83541.704,108.457,161.716,2256.99,1.186,1.036,1.25,560.0,9.486,5157.0,87.351,333.0,5.64,2848.0,48.241,115456590.0,689280.0,1948.953,11.635,531543.0,8.973,0.0186,53.9,tests performed,94400044.0,47128658.0,43938175.0,4833528.0,286108.0,220711.0,159.9,79.83,74.42,8.19,3738.0,19173.0,0.032,49.72,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
4,ITA,Europe,Italy,2021-11-24,4942135.0,10044.0,9865.714,133330.0,83.0,62.429,83711.833,170.129,167.109,2258.396,1.406,1.057,1.24,573.0,9.706,5202.0,88.114,343.0,5.81,2879.0,48.766,116019095.0,562505.0,1958.448,9.495,535077.0,9.032,0.019,52.5,tests performed,94719844.0,47151005.0,43964567.0,5104728.0,319800.0,234295.0,160.44,79.87,74.47,8.65,3969.0,19638.0,0.033,49.71,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
5,ITA,Europe,Italy,2021-11-25,4954585.0,12450.0,10191.857,133415.0,85.0,64.286,83922.716,210.883,172.634,2259.836,1.44,1.089,1.24,588.0,9.96,5277.0,89.384,345.0,5.844,2961.0,50.155,116669093.0,649998.0,1969.42,10.972,538537.0,9.091,0.0198,50.6,tests performed,95070936.0,47178441.0,43986338.0,5406709.0,351092.0,249547.0,161.03,79.91,74.51,9.16,4227.0,20480.0,0.035,49.7,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
6,ITA,Europe,Italy,2021-11-26,4968341.0,13756.0,10636.286,133486.0,71.0,64.571,84155.721,233.005,180.162,2261.039,1.203,1.094,1.24,606.0,10.265,5354.0,90.688,364.0,6.166,3038.0,51.459,117226273.0,557180.0,1978.825,9.405,541208.0,9.136,0.0205,48.8,tests performed,95441816.0,47208151.0,44009297.0,5725046.0,370880.0,266136.0,161.66,79.96,74.54,9.7,4508.0,21665.0,0.037,49.68,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
7,ITA,Europe,Italy,2021-11-27,4982022.0,13681.0,11083.0,133537.0,51.0,65.0,84387.455,231.734,187.728,2261.902,0.864,1.101,1.23,624.0,10.57,5450.0,92.314,382.0,6.47,3099.0,52.492,117823171.0,596898.0,1988.901,10.076,544363.0,9.189,0.0207,48.3,tests performed,95757425.0,47237995.0,44028964.0,5991249.0,315609.0,283379.0,162.2,80.01,74.58,10.15,4800.0,23262.0,0.039,49.68,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
8,ITA,Europe,Italy,2021-11-28,4994891.0,12869.0,11272.857,133627.0,90.0,70.857,84605.435,217.98,190.944,2263.427,1.524,1.2,1.23,638.0,10.807,5602.0,94.889,386.0,6.538,3125.0,52.932,118335763.0,512592.0,1997.554,8.653,548003.0,9.251,0.0214,46.7,tests performed,95918926.0,47253413.0,44038030.0,6128332.0,161501.0,294461.0,162.47,80.04,74.59,10.38,4988.0,24177.0,0.041,49.67,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,159636.9,12.98,5.51,2694.7334
9,ITA,Europe,Italy,2021-11-29,5007818.0,12927.0,11732.857,133674.0,47.0,71.0,84824.398,218.963,198.736,2264.223,0.796,1.203,1.23,669.0,11.332,5804.0,98.31,390.0,6.606,3181.0,53.881,118611763.0,276000.0,2002.213,4.659,549208.0,9.271,0.0218,45.9,tests performed,96299262.0,47287406.0,44058354.0,6454433.0,380336.0,312189.0,163.12,80.1,74.63,10.93,5288.0,25807.0,0.044,49.66,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
10,ITA,Europe,Italy,2021-11-30,5015790.0,7972.0,11957.0,133739.0,65.0,70.286,84959.431,135.033,202.532,2265.324,1.101,1.191,1.23,683.0,11.569,5910.0,100.106,393.0,6.657,3202.0,54.237,119331735.0,719972.0,2014.366,12.153,553592.0,9.345,0.0223,44.8,tests performed,96719284.0,47320585.0,44079418.0,6820337.0,420022.0,331320.0,163.83,80.15,74.66,11.55,5612.0,27418.0,0.046,49.65,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
11,ITA,Europe,Italy,2021-12-01,5028547.0,12757.0,12344.571,133828.0,89.0,71.143,85175.514,216.083,209.097,2266.831,1.508,1.205,1.22,686.0,11.62,5934.0,100.512,406.0,6.877,3249.0,55.033,119905510.0,573775.0,2024.052,9.686,555202.0,9.372,0.0229,43.7,tests performed,97184647.0,47353051.0,44098847.0,7233912.0,465363.0,352115.0,164.62,80.21,74.7,12.25,5964.0,28864.0,0.049,49.64,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
12,ITA,Europe,Italy,2021-12-02,5043620.0,15073.0,12719.286,133931.0,103.0,73.714,85430.826,255.312,215.444,2268.576,1.745,1.249,1.22,698.0,11.823,5996.0,101.563,404.0,6.843,3327.0,56.354,120584972.0,679462.0,2035.522,11.47,559411.0,9.443,0.0235,42.5,tests performed,97680068.0,47386721.0,44120218.0,7674392.0,495421.0,372733.0,165.45,80.27,74.73,13.0,6313.0,29754.0,0.05,49.63,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
13,ITA,Europe,Italy,2021-12-03,5060430.0,16810.0,13155.571,134003.0,72.0,73.857,85715.56,284.734,222.834,2269.796,1.22,1.251,1.21,708.0,11.992,6093.0,103.206,406.0,6.877,3367.0,57.032,121173417.0,588445.0,2045.455,9.933,563878.0,9.518,0.0242,41.4,tests performed,98205216.0,47421803.0,44142800.0,8141984.0,525148.0,394771.0,166.34,80.32,74.77,13.79,6687.0,30522.0,0.052,49.62,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
