,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate
0,ITA,Europe,Italy,2021-11-20,4904441.0,10554.0,8640.571,133082.0,48.0,56.571,83073.357,178.768,146.357,2254.195,0.813,0.958,1.26
1,ITA,Europe,Italy,2021-11-21,4915981.0,11540.0,9069.286,133131.0,49.0,56.0,83268.826,195.469,153.619,2255.025,0.83,0.949,1.25
2,ITA,Europe,Italy,2021-11-22,4925688.0,9707.0,9375.286,133177.0,46.0,57.429,83433.247,164.421,158.802,2255.805,0.779,0.973,1.25
3,ITA,Europe,Italy,2021-11-23,4932091.0,6403.0,9547.286,133247.0,70.0,61.143,83541.704,108.457,161.716,2256.99,1.186,1.036,1.25
4,ITA,Europe,Italy,2021-11-24,4942135.0,10044.0,9865.714,133330.0,83.0,62.429,83711.833,170.129,167.109,2258.396,1.406,1.057,1.24
5,ITA,Europe,Italy,2021-11-25,4954585.0,12450.0,10191.857,133415.0,85.0,64.286,83922.716,210.883,172.634,2259.836,1.44,1.089,1.24
6,ITA,Europe,Italy,2021-11-26,4968341.0,13756.0,10636.286,133486.0,71.0,64.571,84155.721,233.005,180.162,2261.039,1.203,1.094,1.24
7,ITA,Europe,Italy,2021-11-27,4982022.0,13681.0,11083.0,133537.0,51.0,65.0,84387.455,231.734,187.728,2261.902,0.864,1.101,1.23
8,ITA,Europe,Italy,2021-11-28,4994891.0,12869.0,11272.857,133627.0,90.0,70.857,84605.435,217.98,190.944,2263.427,1.524,1.2,1.23
9,ITA,Europe,Italy,2021-11-29,5007818.0,12927.0,11732.857,133674.0,47.0,71.0,84824.398,218.963,198.736,2264.223,0.796,1.203,1.23
10,ITA,Europe,Italy,2021-11-30,5015790.0,7972.0,11957.0,133739.0,65.0,70.286,84959.431,135.033,202.532,2265.324,1.101,1.191,1.23
11,ITA,Europe,Italy,2021-12-01,5028547.0,12757.0,12344.571,133828.0,89.0,71.143,85175.514,216.083,209.097,2266.831,1.508,1.205,1.22
12,ITA,Europe,Italy,2021-12-02,5043620.0,15073.0,12719.286,133931.0,103.0,73.714,85430.826,255.312,215.444,2268.576,1.745,1.249,1.22
13,ITA,Europe,Italy,2021-12-03,5060430.0,16810.0,13155.571,134003.0,72.0,73.857,85715.56,284.734,222.834,2269.796,1.22,1.251,1.21
14,ITA,Europe,Italy,2021-12-04,5077445.0,17015.0,13631.857,134077.0,74.0,77.143,86003.767,288.207,230.902,2271.049,1.253,1.307,1.21
15,ITA,Europe,Italy,2021-12-05,5094072.0,16627.0,14168.714,134152.0,75.0,75.0,86285.402,281.635,239.995,2272.32,1.27,1.27,1.2
16,ITA,Europe,Italy,2021-12-06,5109082.0,15010.0,14466.286,134195.0,43.0,74.429,86539.647,254.245,245.036,2273.048,0.728,1.261,1.18
17,ITA,Europe,Italy,2021-12-07,5118576.0,9494.0,14683.714,134287.0,92.0,78.286,86700.46,160.813,248.719,2274.606,1.558,1.326,1.17
18,ITA,Europe,Italy,2021-12-08,5134318.0,15742.0,15110.143,134386.0,99.0,79.714,86967.105,266.644,255.942,2276.283,1.677,1.35,1.15
19,ITA,Europe,Italy,2021-12-09,5152264.0,17946.0,15520.571,134472.0,86.0,77.286,87271.081,303.976,262.894,2277.74,1.457,1.309,1.15
20,ITA,Europe,Italy,2021-12-10,5164780.0,12516.0,14907.143,134551.0,79.0,78.286,87483.082,212.001,252.503,2279.078,1.338,1.326,1.19
21,ITA,Europe,Italy,2021-12-11,5185270.0,20490.0,15403.571,134669.0,118.0,84.571,87830.15,347.068,260.912,2281.077,1.999,1.433,1.24
22,ITA,Europe,Italy,2021-12-12,5206305.0,21035.0,16033.286,134765.0,96.0,87.571,88186.449,356.299,271.578,2282.703,1.626,1.483,1.27
23,ITA,Europe,Italy,2021-12-13,5225517.0,19212.0,16633.571,134831.0,66.0,90.857,88511.869,325.42,281.746,2283.821,1.118,1.539,1.28
24,ITA,Europe,Italy,2021-12-14,5238221.0,12704.0,17092.143,134929.0,98.0,91.714,88727.055,215.185,289.513,2285.481,1.66,1.553,1.28
25,ITA,Europe,Italy,2021-12-15,5258886.0,20665.0,17795.429,135049.0,120.0,94.714,89077.086,350.032,301.426,2287.513,2.033,1.604,1.29
26,ITA,Europe,Italy,2021-12-16,5282076.0,23190.0,18544.571,135178.0,129.0,100.857,89469.888,392.801,314.115,2289.698,2.185,1.708,1.3
27,ITA,Europe,Italy,2021-12-17,5308180.0,26104.0,20485.714,135301.0,123.0,107.143,89912.048,442.16,346.995,2291.782,2.083,1.815,1.32
28,ITA,Europe,Italy,2021-12-18,5336795.0,28615.0,21646.429,135421.0,120.0,107.429,90396.74,484.692,366.656,2293.814,2.033,1.82,1.35
29,ITA,Europe,Italy,2021-12-19,5364852.0,28057.0,22649.571,135544.0,123.0,111.286,90871.98,475.241,383.647,2295.898,2.083,1.885,1.38
30,ITA,Europe,Italy,2021-12-20,5389155.0,24303.0,23376.857,135641.0,97.0,115.714,91283.634,411.654,395.966,2297.541,1.643,1.96,1.4
31,ITA,Europe,Italy,2021-12-21,5405360.0,16205.0,23877.0,135778.0,137.0,121.286,91558.121,274.487,404.438,2299.861,2.321,2.054,1.42
32,ITA,Europe,Italy,2021-12-22,5436143.0,30783.0,25322.429,135931.0,153.0,126.0,92079.536,521.415,428.921,2302.453,2.592,2.134,1.46
33,ITA,Europe,Italy,2021-12-23,5472469.0,36326.0,27199.0,136077.0,146.0,128.429,92694.84,615.304,460.707,2304.926,2.473,2.175,1.51
34,ITA,Europe,Italy,2021-12-24,5517054.0,44585.0,29839.143,136245.0,168.0,134.857,93450.038,755.198,505.427,2307.772,2.846,2.284,1.56
35,ITA,Europe,Italy,2021-12-25,5567644.0,50590.0,32978.429,136386.0,141.0,137.857,94306.951,856.913,558.602,2310.16,2.388,2.335,1.61
36,ITA,Europe,Italy,2021-12-26,5622431.0,54787.0,36797.0,136530.0,144.0,140.857,95234.955,928.004,623.282,2312.599,2.439,2.386,1.66
37,ITA,Europe,Italy,2021-12-27,5647313.0,24882.0,36879.714,136611.0,81.0,138.571,95656.416,421.461,624.683,2313.971,1.372,2.347,1.76
38,ITA,Europe,Italy,2021-12-28,5678112.0,30799.0,38964.571,136753.0,142.0,139.286,96178.102,521.686,659.997,2316.376,2.405,2.359,1.87
39,ITA,Europe,Italy,2021-12-29,5756412.0,78300.0,45752.714,136943.0,190.0,144.571,97504.378,1326.276,774.978,2319.595,3.218,2.449,1.95
40,ITA,Europe,Italy,2021-12-30,5854428.0,98016.0,54565.571,137091.0,148.0,144.857,99164.612,1660.234,924.253,2322.101,2.507,2.454,1.97
41,ITA,Europe,Italy,2021-12-31,5981428.0,127000.0,66339.143,137247.0,156.0,143.143,101315.788,2151.176,1123.679,2324.744,2.642,2.425,1.94
42,ITA,Europe,Italy,2022-01-01,6125683.0,144255.0,79719.857,137402.0,155.0,145.143,103759.236,2443.448,1350.326,2327.369,2.625,2.458,1.84
43,ITA,Europe,Italy,2022-01-02,6267035.0,141352.0,92086.286,137513.0,111.0,140.429,106153.512,2394.276,1559.794,2329.249,1.88,2.379,1.75
44,ITA,Europe,Italy,2022-01-03,6328076.0,61041.0,97251.857,137646.0,133.0,147.857,107187.449,1033.937,1647.29,2331.502,2.253,2.504,1.7
